price,surface,piece,rooms,bathroom,address,description,more_features_1_dict,more_features_2_dict
Prix à consulter,177 m²,,,,Ancienne Medina à Casablanca,"Immeuble chouka pour construction R plus 7
Immeuble chouka à rue des Anglais ancien medina pour construction R plus 7 étage, pour La note de renseignement et plus informations veuillez nos contacter sur WhatsApp",{'Type de bien\nTerrain': 'Type de bien\nTerrain'},{}
3 190 000 DH,128 m²,4 Pièces,3 Chambres,3 Salles de bains,Triangle d'Or à Casablanca,"Bel Appartement à Vendre à Racine
Appartement situé entre Bd Massira Khadra et Bd d'Anfa au sein d'un des plus beaux quartiers de Casablanca et à proximité de tous commerces.
L'appartement se compose d'un hall d'entrée, salon avec cheminée, 3 Chambres dont une suite parentale avec balcon et salle de bain , cuisine spacieuse avec balcon et chambre de rangement, 3 salles de bain, balcon sans vis à vis.
3 ème étage avec ascenseur et Concierge, Place de parking titrée.
Contactez nous au 0776283338","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Étage du bien\n3ème': 'Étage du bien\n3ème', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Chambre rangement': 'Chambre rangement', 'Cheminée': 'Cheminée', 'Double vitrage': 'Double vitrage'}"
2 650 000 DH,173 m²,5 Pièces,3 Chambres,2 Salles de bains,Mandarona à Casablanca,"Vente Appartement Jnane Californie
Un superbe appartement de 157 m2 avec une place de garage de 16 m2, niché au 3ème étage d’une résidence paisible et hautement recherchée.

Cet appartement vous charmera dès le premier pas grâce à sa cuisine magnifiquement équipée avec un balcon pour des moments conviviaux.

À l’intérieur, vous trouverez trois chambres spacieuses, dont une suite parentale avec dressing et salle de bain privative, ainsi qu’un balcon supplémentaire. De plus, une deuxième salle de bain ajoute à votre confort.

Une place de garage est également incluse, et la luminosité abondante et la tranquillité de l’environnement vous offrent une sérénité inestimable. Une visite s’impose pour ressentir l’âme de ce lieu unique, un coup de cœur assuré.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n5-10 ans': 'Etat du bien\n5-10 ans', 'Étage du bien\n3ème': 'Étage du bien\n3ème', 'Orientation\nOuest': 'Orientation\nOuest', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Jardin': 'Jardin', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Cheminée': 'Cheminée', 'Climatisation': 'Climatisation', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée', 'Réfrigérateur': 'Réfrigérateur', 'Four': 'Four', 'Machine à laver': 'Machine à laver', 'Micro-ondes': 'Micro-ondes'}"
1 600 000 DH,216 m²,4 Pièces,3 Chambres,2 Salles de bains,Hay M'barka à Casablanca,"Appartement en vente à Hay M'barka. 4 grandes pièces.
Ne laissez pas passer cet appartement à vendre. Prix 1 600 000 DH. 3 chambres, 2 salles de bains, 216 m². 4 pièces. À rénover.

Cet appartement est en vente à Hay M'barka, Casablanca.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nÀ rénover': 'Etat\nÀ rénover'}",{}
2 400 000 DH,82 m²,1 Salle de bain,,,Les princesses à Casablanca,"Très beau Magasin à Ghandi Aménagé
Renseignements par message ou WhatsApp. On met en vente ce très beau magasin aménagé à Ghandi (Quartier les princesses)
Très bel emplacement","{'Type de bien\nLocal commercial': 'Type de bien\nLocal commercial', 'Etat\nBon état': 'Etat\nBon état', ""Etat du bien\nMoins d'un an"": ""Etat du bien\nMoins d'un an"", 'Type du sol\nCarrelage': 'Type du sol\nCarrelage'}","{'Garage': 'Garage', 'Concierge': 'Concierge', 'Climatisation': 'Climatisation', 'Sécurité': 'Sécurité'}"
Prix à consulter,50 m²,3 Pièces,2 Chambres,2 Salles de bains,Bernoussi à Casablanca,"Joli appartement à El Bernoussi
Bonjour,

Je mets en vente un appartement au projet AMLAK EL BERNOUSSI.

Le prix de l'appartement est de 25 000 dhs j'ai donné une avance de 15 000 dhs.

Les clés de l'appartement sont disponibles.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', 'Étage du bien\n1er': 'Étage du bien\n1er', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nCarrelage': 'Type du sol\nCarrelage'}",{}
Prix à consulter,154 m²,1 Salle de bain,,,Bernoussi à Casablanca,"Magasin a vendre
Local commercial a vendre avec 2 facades
Superficie 107m souspente 47m","{'Type de bien\nLocal commercial': 'Type de bien\nLocal commercial', 'Etat\nNouveau': 'Etat\nNouveau', ""Etat du bien\nMoins d'un an"": ""Etat du bien\nMoins d'un an""}",{}
1 300 000 DH,112 m²,2 Pièces,3 Chambres,2 Salles de bains,Californie à Casablanca,"Bel appartement à vendre à Ouled Taleb
je mets mon appartement à vendre à Ouled Taleb emplacement magnifique ensoleillé, en deux façades et près de ttes les commodités busway transport écoles supermarchés composé de deux salons ,2chambres,2salles de bain une cuisine en plus du garage et la terrasse pour plus d'informations.appelez si vous êtes intéressés","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Étage du bien\n4ème': 'Étage du bien\n4ème', 'Orientation\nOuest': 'Orientation\nOuest', 'Type du sol\nCarrelage': 'Type du sol\nCarrelage'}","{'Jardin': 'Jardin', 'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Façade extérieure': 'Façade extérieure', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Cuisine équipée': 'Cuisine équipée'}"
680 000 DH,93 m²,3 Pièces,3 Chambres,1 Salle de bain,La Vilette à Casablanca,"Appartement bd ibn tachefine Res al abrar
Faites une belle affaire en achetant cet appartement. Prix 680000 DH. 3 chambres, 1 salle de bains, 93 m². 3 pièces. Moins de 20 ans. Type de sol: Carrelage. Prestation de conciergerie.

Venez découvrir cet appartement à vendre à ibn tachefine Casablanca. Ascenseur.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nCarrelage': 'Type du sol\nCarrelage'}","{'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Chambre rangement': 'Chambre rangement'}"
15 000 000 DH,1015 m²,,,,Oasis à Casablanca,"Terrain à Vendre
Terrain à Vendre au Quartier Oasis , sup 1015M2 ,",{'Type de bien\nTerrain': 'Type de bien\nTerrain'},{}
2 100 000 DH,177 m²,1 Pièce,3 Chambres,2 Salles de bains,Maârif à Casablanca,"Appartement a vendre
APPARTEMENT A VENDRE SITUEE A MAARIF AU VOISIGNAGE DU DB ZERKTOUNI.

POUR PLUS DE RENSIGNEMENTS N'HEZITEZ PAS A NOUS CONTACTER VIA LE NUMERO SUSMENTIONNEE","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Étage du bien\n4ème': 'Étage du bien\n4ème', 'Orientation\nNord': 'Orientation\nNord'}","{'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Antenne parabolique': 'Antenne parabolique', 'Sécurité': 'Sécurité'}"
670 000 DH,67 m²,1 Pièce,2 Chambres,1 Salle de bain,Mabroka à Casablanca,"Appartement en vente à Mabroka. 1 Pièce. Porte blindée et système de double vitrage.
Appartement idéal à la vente. Prix 670 000 DH. 2 chambres, 1 salle de bains, superficie 67 m². 1 Pièces. 1er étage. Moins d'un an. Revêtement: Marbre. Bénéficiez du calme absolu avec fenêtres en double vitrage. Porte d'entrée blindée.

Cet appartement est en vente à Mabroka, Casablanca.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', ""Etat du bien\nMoins d'un an"": ""Etat du bien\nMoins d'un an"", 'Étage du bien\n1er': 'Étage du bien\n1er', 'Orientation\nNord': 'Orientation\nNord', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Chambre rangement': 'Chambre rangement', 'Façade extérieure': 'Façade extérieure', 'Double vitrage': 'Double vitrage', 'Porte blindée': 'Porte blindée'}"
12 000 000 DH,460 m²,4 Pièces,4 Chambres,3 Salles de bains,Oasis à Casablanca,"VILLA OASIS meilleur quartier
cause départ à l'étranger Coquette villa originalité et Contemporain, située dans l'un des meilleurs quartiers de Casablanca, à ne pas rater","{'Type de bien\nMaison': 'Type de bien\nMaison', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Jardin': 'Jardin', 'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Chambre rangement': 'Chambre rangement', 'Meublé': 'Meublé', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Cheminée': 'Cheminée', 'Cuisine équipée': 'Cuisine équipée', 'Réfrigérateur': 'Réfrigérateur', 'Four': 'Four', 'Machine à laver': 'Machine à laver', 'Micro-ondes': 'Micro-ondes'}"
,460 m²,4 Pièces,4 Chambres,3 Salles de bains,,,{},{}
