price,surface,piece,rooms,bathroom,address,description,more_features_1_dict,more_features_2_dict
1 580 000 DH,135 m²,4 Pièces,3 Chambres,3 Salles de bains,Les Hôpitaux à Casablanca,"Appartement terrasse 135m² 2Mars Hôpitaux 1,58 MDH
Vente bel appartement au Quartier 2Mars , proche Rond point d'europe,et Bd Zerktouni, dans une Résidence sécurisée avec ascensseur place au parking sous sol, superficie 135m², au 3 éme étage, 1 salon 3 chambres dont une suite parentale avec salle de bain douche placards balcon, 1 cuisine avec buanderie , 2 éme SDB , grande terrasse , ensoleillé , 2 façades ensoleillé
Prix 1 580 000 Dh","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Étage du bien\n3ème': 'Étage du bien\n3ème', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Façade extérieure': 'Façade extérieure', 'Antenne parabolique': 'Antenne parabolique', 'Sécurité': 'Sécurité'}"
6 500 000 DH,300 m²,5 Pièces,3 Chambres,3 Salles de bains,Casablanca,"F4 de luxe a vendre a casablanca ghandi
Appartement à vendre haut standing quartier Ghandi dans une residence calme et securusee se compose :
dun Salon marocain, salon européen coin cheminée avec une grande terrasse, salle de séjour,salle d’eau, 2 chambres avec salle de bain et balcon, chambre parents avec dressing, salle de bain et balcon, cuisine avec chambre pour femme de ménage et toilette, buanderie, 2 places parking et box résidence sécurisée 24/24
Superficie habitable 300 m2 2ème étage",{'Type de bien\nAppartement': 'Type de bien\nAppartement'},"{'Terrasse': 'Terrasse', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Cheminée': 'Cheminée', 'Sécurité': 'Sécurité'}"
350 000 DH,50 m²,3 Pièces,2 Chambres,1 Salle de bain,Oulfa à Casablanca,"Appartement à vendre azhar 2 riad oulfa hay hassan
Appartement à vendre azhar 2 riad oulfa hay hassan
2 chambres salon cuisine salle de bain
50 mètre Appartement neuf 3 étage","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', 'Etat du bien\n1-5 ans': 'Etat du bien\n1-5 ans', 'Étage du bien\n3ème': 'Étage du bien\n3ème'}",{}
1 350 000 DH,50 m²,2 Pièces,1 Chambre,1 Salle de bain,Racine à Casablanca,"Studio moderne à la vente a Racine
Très beau studio moderne à la vente à racine superficie environ 50 m emplacement top tout près toute Les commodités Il comprend un salon avec une cuisine américaine ouverte une chambre une salle de bain prix 1350000 dhs","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n1-5 ans': 'Etat du bien\n1-5 ans', 'Étage du bien\n3ème': 'Étage du bien\n3ème', 'Orientation\nOuest': 'Orientation\nOuest', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Façade extérieure': 'Façade extérieure', 'Climatisation': 'Climatisation', 'Sécurité': 'Sécurité', 'Porte blindée': 'Porte blindée', 'Cuisine équipée': 'Cuisine équipée', 'Réfrigérateur': 'Réfrigérateur', 'Four': 'Four', 'Machine à laver': 'Machine à laver', 'Micro-ondes': 'Micro-ondes'}"
2 300 000 DH,214 m²,5 Pièces,3 Chambres,3 Salles de bains,Derb Carlotti à Casablanca,"Appartement à Vendre de 214.0 m² à Casablanca, Mers Sultan
Nouvelle annonce de Vente d'un appartement à Casablanca, dans le quartier Mers Sultan. Cette propriété spacieuse offre une surface de 214.0m² au 5 étage Ce bien lumineux est idéal. Prix attractif de 2300000 Dhs. Contactez-nous dès maintenant pour visiter ce bien!",{'Type de bien\nAppartement': 'Type de bien\nAppartement'},"{'Garage': 'Garage', 'Ascenseur': 'Ascenseur'}"
1 150 000 DH,49 m²,3 Pièces,1 Chambre,2 Salles de bains,Maârif à Casablanca,"Appartement à Vendre de 49.0 m² à Casablanca, Maarif
Nouvelle annonce de Vente d'un appartement à Dar-el-Beida, dans le quartier Maarif. Cette propriété spacieuse offre une surface de 49.0m² au 4 étage Ce bien lumineux est idéal. Prix attractif de 1150000 Dhs. Contactez-nous dès maintenant pour visiter ce bien!",{'Type de bien\nAppartement': 'Type de bien\nAppartement'},"{'Garage': 'Garage', 'Ascenseur': 'Ascenseur'}"
8 700 000 DH,480 m²,12 Pièces,4 Chambres,3 Salles de bains,Riviera à Casablanca,"Villa à vendre à Riviera
Century 21 Anfa vous propose une villa à la vente à Riviera.

Très bien située dans un endroit très calme et sécurisé.

Villa neuve, jamais habitée, ensoleillée, spacieuse et très lumineuse.

Sur un terrain de 480m, la villa se compose d'un triple grand salon, quatre chambres dont deux suites, trois salles de bain, une magnifique cuisine, un espace pour le personnel, un grand garage, un jardin spacieux et deux terrasses.

Pour plus d'informations veillez nous contacter.","{'Type de bien\nVilla': 'Type de bien\nVilla', 'Etat\nNouveau': 'Etat\nNouveau', 'Etat du bien\n1-5 ans': 'Etat du bien\n1-5 ans', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Jardin': 'Jardin', 'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Chambre rangement': 'Chambre rangement', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Double vitrage': 'Double vitrage', 'Porte blindée': 'Porte blindée'}"
1 900 000 DH,100 m²,2 Salles de bains,,,Val Fleury à Casablanca,"Beau local à vendre à Val Fleury
Matisse immobilier vous propose à la vente un local commercial situé sur une rue très fréquentée à Val Fleuri - Casablanca.

Totalisant une superficie de 100m2 sur deux niveaux répartie comme suit :
* Rez-de-chaussée : 55 mètres carrés
* Soupente : 45 mètres carrés

Le local dispose d’une place de parking au garage sous-sol.

* Prix de vente : 1.900.000 MAD (légèrement négociable).

N’hésitez pas à nous contacter pour plus d’informations.","{'Type de bien\nLocal commercial': 'Type de bien\nLocal commercial', 'Etat\nBon état': 'Etat\nBon état'}","{'Garage': 'Garage', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée'}"
19 000 000 DH,1147 m²,5 Pièces,5 Chambres,3 Salles de bains,Ain Diab Extension à Casablanca,"Tres belle villa ain diab extension
Splendide villa à vendre située dans le quartier prisé d'Ain Diab Extension à Casablanca.

Avec son terrain de 1147 m², et ses 708m2 habitable cette villa est idéale pour une grande famille.

Au Rez de chaussée :
La villa dispose d'un très grand double séjour extrêmement lumineux pouvant accueillir plusieurs espaces ouverts sur l'extérieur, parfait pour se détendre en famille.
Une salle d'eau. invité

A l'entresol :
Une deuxième grand séjour agréable
Une cuisine est moderne, fonctionnelles et équipée ouverte sur une terrasse et une dépendance
Une chambre à coucher d'invitée avec sa salle de bain privative

Au 1er étage :
Quatre spacieuses et confortables chambres à coucher
Deux salles de bains avec douche à l'italienne qui offrent confort et intimité.

La piscine arboré de jardin et accolé à une grande terrasse permettra aux futurs propriétaires de profiter pleinement du soleil et de l'extérieur.

La villa est au coeur d'une résidence fermée qui assure tranquillité et sécurité.
Le garage attenant à la villa peut abriter 2 ou 3 voitures.

Bien entretenue, ce joyeux est idéal pour profiter de la vie urbaine tout en bénéficiant d'un espace calme et spacieux à quelques minutes de la plage.


Ne manquez pas cette opportunité et contactez-nous dès maintenant pour organiser une visite !","{'Type de bien\nVilla': 'Type de bien\nVilla', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n1-5 ans': 'Etat du bien\n1-5 ans', 'Orientation\nEst': 'Orientation\nEst', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Jardin': 'Jardin', 'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Piscine': 'Piscine', 'Concierge': 'Concierge', 'Chambre rangement': 'Chambre rangement', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Cheminée': 'Cheminée', 'Climatisation': 'Climatisation', 'Chauffage central': 'Chauffage central', 'Sécurité': 'Sécurité', 'Double vitrage': 'Double vitrage', 'Porte blindée': 'Porte blindée', 'Cuisine équipée': 'Cuisine équipée', 'Réfrigérateur': 'Réfrigérateur', 'Four': 'Four', 'Machine à laver': 'Machine à laver', 'Micro-ondes': 'Micro-ondes'}"
890 000 DH,117 m²,4 Pièces,3 Chambres,2 Salles de bains,Aïn Sebaâ à Casablanca,"Appartement a vendre à Ain Sebaa
je mets en vente un appartement très bien ensoleillé de 3 façades situé au 3eme étage, consistant d'un salon, 3 chambres, cuisine avec buanderie, salle de bain et 2 W.C d'une superficie de 93m² avec terrasse privée de 24m², le tout appartement et terrasse d'une superficie totale de 117m² Rés surveillée avec espaces verts, parking et gardinage, bien situé: gare tram autoroute bim Marjane carrefour Bricoma, école mosquée...etc","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n20-30 ans': 'Etat du bien\n20-30 ans', 'Étage du bien\n3ème': 'Étage du bien\n3ème', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nCarrelage': 'Type du sol\nCarrelage'}","{'Jardin': 'Jardin', 'Terrasse': 'Terrasse', 'Concierge': 'Concierge', 'Façade extérieure': 'Façade extérieure', 'Salon Marocain': 'Salon Marocain', 'Antenne parabolique': 'Antenne parabolique', 'Four': 'Four'}"
30 000 000 DH,1632 m²,6 Pièces,6 Chambres,5 Salles de bains,Anfa Supérieur à Casablanca,"Villa luxieuse nichee a anfa superieur
À vendre : Villa d’exception à Anfa Supérieur, Casablanca !

Bienvenue dans votre futur havre de paix !

Nichée dans le quartier prisé d'Anfa Supérieur, cette magnifique villa allie confort moderne et espaces généreux, parfaite pour les familles ou les amateurs de réceptions.

Caractéristiques :

- Superficie : 1632 m² d’élégance, avec de vastes espaces intérieurs et extérieurs pour profiter du soleil marocain !
- État : Impeccable et bien entretenue, cette villa moderne a entre 6 et 10 ans.

Aménagements de Rêve :

Rez-de-jardin :

- 4 salons lumineux avec 2 cheminées chaleureuses
- Une chambre confortable
- 2 cuisines pratiques
- Salle de bain, salle d’eau et une chambre de service avec sa propre salle de bain
- Superbe terrasse avec pergola en verre
- Grand jardin et piscine étincelante, avec local technique et salle de bain spéciale piscine

Étage :

- Suite parentale luxueuse
- 2 chambres spacieuses
- Salle de bain

Atouts à ne pas manquer :

- Jardin et terrasse communicants pour des moments inoubliables en plein air
- Potentiel d’extension pour ajouter encore plus de caractère à votre espace !

Contactez-nous dès aujourd’hui pour organiser votre visite et découvrir cette villa exceptionnelle qui pourrait bien devenir votre nouveau chez-vous !","{'Type de bien\nVilla': 'Type de bien\nVilla', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n1-5 ans': 'Etat du bien\n1-5 ans', 'Orientation\nEst': 'Orientation\nEst', 'Type du sol\nParquet': 'Type du sol\nParquet'}","{'Jardin': 'Jardin', 'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Piscine': 'Piscine', 'Chambre rangement': 'Chambre rangement', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Cheminée': 'Cheminée', 'Climatisation': 'Climatisation', 'Chauffage central': 'Chauffage central', 'Sécurité': 'Sécurité', 'Double vitrage': 'Double vitrage', 'Porte blindée': 'Porte blindée', 'Cuisine équipée': 'Cuisine équipée', 'Réfrigérateur': 'Réfrigérateur', 'Four': 'Four', 'Machine à laver': 'Machine à laver', 'Micro-ondes': 'Micro-ondes'}"
7 150 000 DH,534 m²,10 Pièces,7 Chambres,4 Salles de bains,Laymoune à Casablanca,"Villa à vendre Laymoune
# Surface du terrain300m carré .
# surface construite au sol 178.40m carré x 3 niveaux( La cave Rez-de-chaussé 1er étage.
# Total de la surface contruite 534.44m carré .

#désignation :
A. La cave( grande cuisine moderne grand salon grande chambre petite chambrehall WC jardingarage 2places chambre pour concierge.

B. Rez-de-chaussée :
02 grandes salons01 grande chambre doucheWC.

C. 1er étage :
3chambres 1grande chambre parental avec jacousie et douche dressing.
1douche à côté des chambres.
A l entrée du villa ,il y a un petit jardin.

D. Terrasse
Très large avec 1 chambre construite.","{'Type de bien\nVilla': 'Type de bien\nVilla', 'Etat\nBon état': 'Etat\nBon état'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Concierge': 'Concierge'}"
5 800 000 DH,375 m²,15 Pièces,7 Chambres,4 Salles de bains,Mandarona à Casablanca,"Villa à vendre à californie en bon état de 375m2
Vente d’une villa de 375m2 lotissement florida californie dotée de 7 chambres 2 salles de bains deux salles d’eau reparties sur 3 etages avec une grande cuisine, deux grands salons marocains et plusieurs salons européens et une grande terrasse et une arrière cour, jardin devant et arrières avec un grand garage pouvant accueillir 4 voitures.","{'Type de bien\nVilla': 'Type de bien\nVilla', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Jardin': 'Jardin', 'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Chambre rangement': 'Chambre rangement', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Climatisation': 'Climatisation'}"
590 000 DH,48 m²,2 Pièces,1 Chambre,1 Salle de bain,Anfa à Casablanca,"Bel studio à vendre
Caractéristiques :

Emplacement privilégié au cœur de Casablanca, près de l'Hôtel Farah
Lumineux et bien ensoleillé
Excellent rapport qualité/prix
Idéal pour un investissement
Pour plus d’informations ou pour organiser une visite, contactez-moi !","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Étage du bien\n4ème': 'Étage du bien\n4ème', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Concierge': 'Concierge', 'Façade extérieure': 'Façade extérieure'}"
2 200 000 DH,152 m²,5 Pièces,3 Chambres,3 Salles de bains,Triangle d'Or à Casablanca,"Superbe appartement à vendre sur triangle d’or
AAQAR TRANSACTION vous propose à la vente ce joli appartement de 152 m2 situé au 1 er étage d’un immeuble propre et de haut standing .
Il se compose :
- Double salon avec coin cheminée et accès à la terrasse.
- Salle d’eau pour invités
- 2 suites parentales avec 2 salles de bain et dressings .
- Cuisine indépendante avec coin salle à manger et accès à la terrasse.
- Terrasse aménageable
- Place au garage titrée

L’appartement est disponible immédiatement.

- Hon. agence:
Vente: 2.5% TVA (20%)
Location : 1 mois de loyer.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Étage du bien\n1er': 'Étage du bien\n1er'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Meublé': 'Meublé', 'Façade extérieure': 'Façade extérieure', 'Cheminée': 'Cheminée', 'Climatisation': 'Climatisation', 'Chauffage central': 'Chauffage central', 'Sécurité': 'Sécurité', 'Double vitrage': 'Double vitrage', 'Cuisine équipée': 'Cuisine équipée', 'Réfrigérateur': 'Réfrigérateur', 'Four': 'Four', 'Machine à laver': 'Machine à laver', 'Micro-ondes': 'Micro-ondes'}"
