price,surface,piece,rooms,bathroom,address,description,more_features_1_dict,more_features_2_dict
830 000 DH,51 m²,1 Salle de bain,,,Les princesses à Casablanca,"Bureau idéalement placé à la vente
Offre Bureau de 60 m² dont 18 m² de place de parking titrée, il se compose d'un hall d'acceuil, deux bureaux, une salle de réunion et une salle d'eau, au 4ème étage, dans un immeuble 100% professionnel, proche de toutes commodités et transports publics, Idéal pour toute société : transport, transit, agence de voyage, avocat, notaire etc.","{'Type de bien\nBureau': 'Type de bien\nBureau', 'Etat\nBon état': 'Etat\nBon état', 'Étage du bien\n4ème': 'Étage du bien\n4ème', 'Type du sol\nCarrelage': 'Type du sol\nCarrelage'}","{'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Climatisation': 'Climatisation', 'Chauffage central': 'Chauffage central', 'Sécurité': 'Sécurité', 'Double vitrage': 'Double vitrage'}"
1 350 000 DH,103 m²,3 Pièces,2 Chambres,2 Salles de bains,Maârif Extension à Casablanca,"Bel Appartement pas cher sur Bvd Ibrahim Roudani
A la vente un superbe appartement de 103 m2 habitable en étage élevé sans vis à vis très bien ensoleillé orienté EST-OUEST.
Il se compose d'un hall d'entrée, un salon, un coin salle à manger, une chambre parentale avec salle de bain, une deuxième chambre, une salle de bain commune et une cuisine équipée avec buanderie.
Une place de garage titrée.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Étage du bien\n3ème': 'Étage du bien\n3ème', 'Orientation\nOuest': 'Orientation\nOuest', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Façade extérieure': 'Façade extérieure', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Climatisation': 'Climatisation', 'Chauffage central': 'Chauffage central', 'Sécurité': 'Sécurité', 'Double vitrage': 'Double vitrage', 'Cuisine équipée': 'Cuisine équipée', 'Four': 'Four'}"
13 500 000 DH,1050 m²,5 Pièces,5 Chambres,5 Salles de bains,Californie à Casablanca,"Top Villa d'angle à démolir ou à rafraichir
CALIFORNIE,
Superbe Villa de 1050 m2 de terrain, 750 m2 de construit, faisant l'angle, très bien située sur Californie est à la vente.

Le RDC comprend un double salon séjour 2 chambres SDB et cuisine.
A l'étage 3 chambres avec SDB Salon séjour et cuisine.
Au sous sol un grand garage et chambre du personnel avec Hammam.","{'Type de bien\nVilla': 'Type de bien\nVilla', 'Etat\nBon état': 'Etat\nBon état', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Jardin': 'Jardin', 'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Chambre rangement': 'Chambre rangement', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Cheminée': 'Cheminée', 'Climatisation': 'Climatisation', 'Chauffage central': 'Chauffage central', 'Sécurité': 'Sécurité', 'Double vitrage': 'Double vitrage', 'Cuisine équipée': 'Cuisine équipée', 'Réfrigérateur': 'Réfrigérateur', 'Four': 'Four'}"
7 000 000 DH,380 m²,5 Pièces,4 Chambres,3 Salles de bains,Sidi Maarouf à Casablanca,"Villa à rénover à usage commercial ou habitation
SIDI MAAROUF (A quelques pas du grand Carrefour)
A la vente une villa avec jardin et piscine super bien située à sidi Maarouf à usage d'habitation ou commercial vue son emplacement stratégique.
Orientation : SUD
Superficie terrain : 380 m2
Superficie habitable : 150 m2 par niveau (3 niveau)
Pour Plus d'informations, n'hésitez pas à nous contacter.","{'Type de bien\nVilla': 'Type de bien\nVilla', 'Etat\nÀ rénover': 'Etat\nÀ rénover', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Piscine': 'Piscine', 'Chambre rangement': 'Chambre rangement', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Cheminée': 'Cheminée', 'Four': 'Four'}"
1 250 000 DH,103 m²,3 Pièces,2 Chambres,2 Salles de bains,Tantonville à Casablanca,"Bel appartement pas cher à la vente
Bel appartement de 103m2 à la vente, en étage élevé et bien ensoleillé, il se compose d'un hall d'entrée, 2 chambres avec terrasse couverte, une salle de bain avec baignoire, une cuisine tout équipé, un grand salon et un wc invité.
Une place de garage titrée.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Étage du bien\n3ème': 'Étage du bien\n3ème', 'Orientation\nEst': 'Orientation\nEst', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Climatisation': 'Climatisation', 'Chauffage central': 'Chauffage central', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée', 'Four': 'Four'}"
1 450 000 DH,132 m²,4 Pièces,3 Chambres,2 Salles de bains,Bourgogne Est à Casablanca,"Dernier étage sans vis à vis terrasse plein sud
BOURGOGNE EN FACE DU LYCEE LYAUTEY
A la vente un superbe appartement de 132 m2 (y compris garage titré et box) situé au dernier étage d'un immeuble bien entretenu avec garage et ascenseur, sans vis à vis avec vue dégagée, orienté plein sud (très bien ensoleillé) avec petite terrasse couverte.
Il se compose d'un hall d'entrée, un salon avec coin salle à manger, trois chambres sont une chambre parentale avec sa salle de bain, une deuxiéme salle de bain, une cuisine spacieuse avec espace de buanderie.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n20-30 ans': 'Etat du bien\n20-30 ans', 'Étage du bien\n7ème': 'Étage du bien\n7ème', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Chambre rangement': 'Chambre rangement', 'Façade extérieure': 'Façade extérieure', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Climatisation': 'Climatisation', 'Chauffage central': 'Chauffage central', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée', 'Four': 'Four'}"
2 300 000 DH,190 m²,5 Pièces,3 Chambres,2 Salles de bains,Palmier à Casablanca,"Appartement à vendre Palmier
Superbe appartement de 167m² à vendre, idéalement situé dans le quartier prisé de Palmier. Il se compose de 3 chambres, dont une suite parentale, d'un grand salon lumineux avec un espace séjour, de 2 salles de bains , ainsi que d'un balcon offrant une vue dégagée. L'appartement est équipé de fenêtres à double vitrage pour un confort optimal et comprend une place de garage.

Situé dans un immeuble bien aménagé avec ascenseur, cet appartement bénéficie d'un emplacement exceptionnel, proche des commerces et des transports. Le secteur est sécurisé 24h/24 et très recherché pour sa tranquillité et ses commodités.

Ne manquez pas cette opportunité unique !","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Étage du bien\n4ème': 'Étage du bien\n4ème', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Façade extérieure': 'Façade extérieure', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Cheminée': 'Cheminée', 'Climatisation': 'Climatisation', 'Sécurité': 'Sécurité', 'Double vitrage': 'Double vitrage', 'Cuisine équipée': 'Cuisine équipée', 'Réfrigérateur': 'Réfrigérateur', 'Four': 'Four'}"
800 000 DH,33 m²,1 Salle de bain,,,Maârif Extension à Casablanca,"Local commercial à vendre
Local commercial en vente .
Idéal pour plusieurs activités, d’une superficie total de 33 m2
Pour toutes informations ou visite n’hésitez pas à nous contacter.","{'Type de bien\nLocal commercial': 'Type de bien\nLocal commercial', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans'}","{'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Climatisation': 'Climatisation', 'Sécurité': 'Sécurité', 'Porte blindée': 'Porte blindée'}"
4 500 000 DH,269 m²,3 Pièces,12 Chambres,4 Salles de bains,Habbous à Casablanca,"Riad titré à vendre Quartier Habous
Découvrez ce bien d’exception au cœur du quartier historique du Habous, sur le prestigieux Boulevard Victor Hugo, face au Palais Royal. Ce riad unique, doté d’un titre foncier, représente une opportunité exceptionnelle pour les amateurs d’authenticité et de patrimoine marocain.

Superficie : 269 m²

A noter que des travaux sont nécessaires et que les transformations sont à réaliser dans le respect des normes liées à ce quartier historique.

Disposition sur 3 niveaux :

- Première partie :
Rez-de-chaussée : 1 patio, 1 grande salle de bain, 2 chambres spacieuses, 1 salon, 1 cuisine équipée d'une pièce de stockage souterraine (bit lkhzin).
1er étage : 1 WC, 1 salon, 1 patio, 1 cuisine, 1 séjour, 1 grande chambre.
2e étage : 2 chambres, 1 cuisine, 1 WC, accès à la terrasse.

- Deuxième partie :
Accessible par escalier, mitoyenne à la première partie.
1er étage : 1 cuisine, 1 salle de bain avec WC, 3 chambres.
2e étage : 2 chambres, 1 cuisine, 1 salle de bain, terrasse mitoyenne à la première partie.

- Troisième partie :
Garage fermé avec une capacité de 3 voitures.
Mezzanine : 2 chambres, 1 WC.

Points forts :
Lieu chargé d’histoire : situé dans un quartier touristique et culturel au patrimoine riche.
Environnement sécurisé : Habous est connu comme l’un des quartiers les plus sûrs de Casablanca.
Potentiel exceptionnel : travaux nécessaires pour réaménagement dans le respect du cadre historique.
Titre foncier : une rareté dans ce secteur, gage de sécurité juridique et d’investissement pérenne.
Ce bien unique est une opportunité rare d’acquérir un morceau d’histoire dans l’un des quartiers les plus prestigieux de Casablanca. Si vous êtes intéressé(e), contactez-moi pour plus d’informations ou pour organiser une visite.","{'Type de bien\nRiad': 'Type de bien\nRiad', 'Etat\nÀ rénover': 'Etat\nÀ rénover', ""Nombre d'étages\n2"": ""Nombre d'étages\n2""}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Sécurité': 'Sécurité', 'Cuisine équipée': 'Cuisine équipée'}"
2 300 000 DH,115 m²,4 Pièces,3 Chambres,2 Salles de bains,Maârif à Casablanca,"Très bel appartement de 115 m² à la vente
Racine-Massira - Très bel appartement de 115 m² à la vente - 3 chambres - 2 salles de bains - Dernier étage - Terrasse - Exposition : Sud-Ouest.

Prix : 2.300.000 MAD.

The Agency met à votre disposition un bel appartement traversant de 115 m² à la vente. Il est situé au 4ème et dernier étage d’un immeuble bien entretenue à proximité du Boulevard Massira.

Il est disposé comme suit :

- Une entrée
- Un séjour avec cheminée ouvert sur une terrasse véranda
- Une cuisine séparée
- Une suite parentale avec dressing, salle de bains avec baignoire et accès terrasse
- Deux chambres supplémentaires avec rangements
- Une salle de bains commune avec douche
- Une place de parking

Les prestations sont de haut standing :
Climatisation par split, cheminée, etc..

Pour plus d'informations, n'hésitez pas à nous contacter, nous serons ravis de vous accompagner et de vous offrir le meilleur de notre service.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Orientation\nSud': 'Orientation\nSud'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Chambre rangement': 'Chambre rangement', 'Cheminée': 'Cheminée', 'Climatisation': 'Climatisation'}"
