price,surface,piece,rooms,bathroom,address,description,more_features_1_dict,more_features_2_dict
380 000 DH,54 m²,2 Pièces,2 Chambres,1 Salle de bain,Hay Albaraka à Casablanca,"Appartement A Vendre
Je mets en vente un appartement à deux façades, d'une superficie totale de 57 m2 composé de 2 chambres un salon une cuisine équipée une salle de bain et un balcon. l'appartement est près de tous les commodités 2 minutes à Tramway et Taxis à toutes destinations
Pour toutes informations complémentaires contactez moi","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n5-10 ans': 'Etat du bien\n5-10 ans', 'Étage du bien\n2ème': 'Étage du bien\n2ème', 'Orientation\nNord': 'Orientation\nNord', 'Type du sol\nCarrelage': 'Type du sol\nCarrelage'}","{'Terrasse': 'Terrasse', 'Cuisine équipée': 'Cuisine équipée'}"
1 200 000 DH,127 m²,2 Pièces,2 Chambres,2 Salles de bains,Beauséjour à Casablanca,"Appartement spacieux à vendre a Beausejour
Appartement spacieux et ensoleillé à vendre à Beausejour à côté de la station Ghandi. Parking de 18m2. Immeuble sécurisé.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nÀ rénover': 'Etat\nÀ rénover'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Façade extérieure': 'Façade extérieure', 'Sécurité': 'Sécurité'}"
3 200 000 DH,150 m²,2 Pièces,2 Chambres,2 Salles de bains,Ferme Bretonne (Hay Arraha) à Casablanca,"Duplex à vendre Ferme bretonne
Duplex Luxueux et rénové sur ferme bretonne disponible pour vente constitué:
Deux chambres
Un salon européen
une cuisine équipée
2 salles de bain
Duplex à vendre récemment rénové avec des matériaux de qualité sur ferme bretonne avec une vue sur le jardin de l'ocp calme et reposant vous pouvez profiter du calme de la résidence et de la proximité des grands artères
Place au parking
pour plus d'informations veuillez me contacter","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', 'Etat du bien\n1-5 ans': 'Etat du bien\n1-5 ans', 'Étage du bien\n2ème': 'Étage du bien\n2ème', 'Orientation\nSud': 'Orientation\nSud', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Chambre rangement': 'Chambre rangement', 'Meublé': 'Meublé', 'Façade extérieure': 'Façade extérieure', 'Salon européen': 'Salon européen', 'Climatisation': 'Climatisation', 'Double vitrage': 'Double vitrage', 'Cuisine équipée': 'Cuisine équipée', 'Réfrigérateur': 'Réfrigérateur', 'Four': 'Four', 'Machine à laver': 'Machine à laver'}"
2 100 000 DH,115 m²,4 Pièces,3 Chambres,3 Salles de bains,Oasis sud à Casablanca,"Magnifique appartement a Loasis
LA SIGNATURE REALTY GROUP met à la vente un splendide appartement de 115m2 , au sein d'une résidence fermée en plein coeur de Loasis , au 1er étage.

-Il se compose comme suit:

- 1 salon avec coin cheminée
- 1 Suite parentale avec dressing et salle de bain avec douche italienne
- 1 Chambre enfant avec placards avec accès et une salle de bain commune avec douche italienne
Une 3me chambre avec placards
- 1 Grande Cuisine équipée
- 1 Salle deau d’invités
- 1 grande place de garage

LA SIGNATURE REALTY GROUP

- Hon. agence :
Vente : 2.5% TVA (20%)
Location : 1 mois de loyer","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Étage du bien\n1er': 'Étage du bien\n1er', 'Orientation\nEst': 'Orientation\nEst', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Jardin': 'Jardin', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Cheminée': 'Cheminée', 'Climatisation': 'Climatisation', 'Cuisine équipée': 'Cuisine équipée'}"
2 550 000 DH,178 m²,4 Pièces,4 Chambres,3 Salles de bains,Les Hôpitaux à Casablanca,"Vends appartement duplex 181 m2
vends appartement duplex compose de 5 chambres et 3 salons , 3 SDB, et une cuisine , plus 2 grandes terasses, appartement bien reparti .
ideal pour l habitation ou encore pour un investissement locatif.Actuellent l'appartement est divisé en 2 et en location.

pour plus d info n hesitez pas à m'appeller.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n10-20 ans': 'Etat du bien\n10-20 ans', 'Étage du bien\n6ème': 'Étage du bien\n6ème', 'Type du sol\nMarbre': 'Type du sol\nMarbre'}","{'Terrasse': 'Terrasse', 'Ascenseur': 'Ascenseur', 'Chambre rangement': 'Chambre rangement', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Cuisine équipée': 'Cuisine équipée', 'Four': 'Four', 'Micro-ondes': 'Micro-ondes'}"
1 610 000 DH,85 m²,3 Pièces,2 Chambres,2 Salles de bains,Burger à Casablanca,"Vend appartement à Burger. 2 chambres agréables. Salon avec décoration marocaine
Agréable appartement à vendre differente superficie 72m,82m, Prix 1 610 000 DH. 2 chambres, 2 salles de bains, 3 pièces. 4ème étage. Moins de 5 ans. Type de sol: Parquet. Avec ascenseur.

Cet appartement est en vente à Burger, Casablanca. Salon traditionnel marocain.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nBon état': 'Etat\nBon état', 'Etat du bien\n1-5 ans': 'Etat du bien\n1-5 ans', 'Étage du bien\n4ème': 'Étage du bien\n4ème', 'Orientation\nEst': 'Orientation\nEst', 'Type du sol\nParquet': 'Type du sol\nParquet'}","{'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Salon Marocain': 'Salon Marocain'}"
2 021 000 DH,106 m²,3 Pièces,3 Chambres,2 Salles de bains,Les princesses à Casablanca,"Des appartement à Quartier les princesses à vendre
Bonjour , je suis Youssra chargée de Résidence Twin à Quartier les princesses
nous vous proposons un appartement de 106 m² en 5 -ème étage bien orientée , 3 ch , 2 salles de bains avec une place parking sous sol numéroté et titré","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', 'Étage du bien\n4ème': 'Étage du bien\n4ème', 'Orientation\nSud': 'Orientation\nSud'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Façade extérieure': 'Façade extérieure', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Climatisation': 'Climatisation', 'Chauffage central': 'Chauffage central', 'Sécurité': 'Sécurité', 'Double vitrage': 'Double vitrage', 'Porte blindée': 'Porte blindée', 'Cuisine équipée': 'Cuisine équipée'}"
2 131 000 DH,109 m²,3 Pièces,3 Chambres,2 Salles de bains,Les princesses à Casablanca,"Appartement quartier les princesses à vendre
Un appartement disponible à la vente de haut standing pour une superficie de 105 m² avec une place parking sous sol avec un bon prix
merci de nous contacter pour plus de renseignements 0608081199","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', ""Etat du bien\nMoins d'un an"": ""Etat du bien\nMoins d'un an"", 'Étage du bien\n2ème': 'Étage du bien\n2ème', 'Orientation\nSud': 'Orientation\nSud'}","{'Terrasse': 'Terrasse', 'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Façade extérieure': 'Façade extérieure', 'Salon Marocain': 'Salon Marocain', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Cheminée': 'Cheminée', 'Climatisation': 'Climatisation', 'Chauffage central': 'Chauffage central', 'Sécurité': 'Sécurité', 'Double vitrage': 'Double vitrage', 'Porte blindée': 'Porte blindée', 'Cuisine équipée': 'Cuisine équipée'}"
Prix à consulter,63 m²,3 Pièces,2 Chambres,2 Salles de bains,Roches Noires à Casablanca,"Appartement à vendre à Roches Noires. 2 chambres
Agréable appartement à vendre. 3 pièces, 2 salles de bains, surface 63 m². 2 chambres à coucher. Nouveau.

Cet appartement est proposé à la vente à Roches Noires. Ascenseur et garage dans la résidence. Sécurité assurée.

Contactez-nous pour visiter cet appartement à vendre à Casablanca. Prestation de conciergerie.","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', 'État\nFinalisé': 'État\nFinalisé', 'Livraison:\njuillet 2024': 'Livraison:\njuillet 2024'}","{'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Concierge': 'Concierge', 'Sécurité': 'Sécurité'}"
Prix à consulter,89 m²,3 Pièces,2 Chambres,2 Salles de bains,Roches Noires à Casablanca,"Appartement à l'achat à Roches Noires. Surface totale 95 m²
Ne laissez pas passer cet appartement meublé à vendre. Prix 1 230 000 DH. 2 chambres, 2 salles de bains, superficie 89 m². 3 pièces plus 13m² de place au parking titrée

Cet appartement est en vente à Roches Noires, Casablanca. Prestation de conciergerie. Résidence gardée.emplacement proches de toutes les commodités","{'Type de bien\nAppartement': 'Type de bien\nAppartement', 'Etat\nNouveau': 'Etat\nNouveau', ""Etat du bien\nMoins d'un an"": ""Etat du bien\nMoins d'un an"", 'État\nFinalisé': 'État\nFinalisé', 'Livraison:\njuillet 2024': 'Livraison:\njuillet 2024'}","{'Garage': 'Garage', 'Ascenseur': 'Ascenseur', 'Vue sur mer': 'Vue sur mer', 'Concierge': 'Concierge', 'Meublé': 'Meublé', 'Façade extérieure': 'Façade extérieure', 'Salon européen': 'Salon européen', 'Antenne parabolique': 'Antenne parabolique', 'Climatisation': 'Climatisation', 'Sécurité': 'Sécurité', 'Double vitrage': 'Double vitrage', 'Cuisine équipée': 'Cuisine équipée', 'Réfrigérateur': 'Réfrigérateur', 'Four': 'Four', 'Machine à laver': 'Machine à laver', 'Micro-ondes': 'Micro-ondes'}"
