price,surface,piece,rooms,bathroom,address,more_infos,description,type_de_bien,etat,étage_du_bien,orientation,standing,état,etat_du_bien,type_du_sol,livraison:,surface_extérieure,climatisation,double_vitrage,cuisine_équipée,terrasse,ascenseur,concierge,sécurité,four,garage,piscine,façade_extérieure,salon_marocain,chambre_rangement,salon_européen,antenne_parabolique,porte_blindée,jardin,cheminée,meublé,réfrigérateur,machine_à_laver,chauffage_central
7000,65,3,2,2,Bernoussi à Casablanca,Vend appartement à Bernoussi. 2 chambres,"Achetez votre appartement. Prix 7 000 DH. 2 chambres, 2 salles de bains, superficie 65 m². 3 pièces lumineuses. Nouveau.

Cet appartement est en vente à Bernoussi, Casablanca.",Appartement,Nouveau,NaN,,Moyen standing,Finalisé,,,juillet 2024,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1240000,62,3,2,2,Plateau (Al Batha) à Casablanca,Bien beaux appartements de ht standing,"BIEN BEAUX APPARTEMENTS de Ht STANDING
Maarif Cité Plateau (Al Batha) de 62 m² à 89 m² à la Résidence ORCHYDIA, de haut standing, Agréables et Confortables appartements Lumineux, Ensoleillés et biens conçus, comprenant une Accueillante Réception, un Salon, cuisine & sdb, une suite parentale avec dressing & sdb, plus une 2ième chambre.
Climatisation intégré, un double vitrage et parking .
A partir de1.240.000, 00dhs.",Appartement,Nouveau,2,Ouest,,,Moins d'un an,Marbre,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1502500,111,3,2,1,Sidi Maarouf à Casablanca,Appartement à l'achat à Sidi Maarouf. Surface de 111 m²,"Agréable appartement à vendre. Prix 1 502 500 DH. 2 chambres à coucher, 1 salle de bains, 111 m². 3 pièces lumineuses. Nouveau. Ascenseur dans la résidence.

Idéal si vous souhaitez acheter un appartement à Sidi Maarouf, Casablanca.",Appartement,Nouveau,NaN,,Haut standing,Finalisé,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4400000,169,3,2,2,Anfa à Casablanca,Appartement à l'achat à Anfa. Superficie 169 m²,"Anfa Place Living Resort est un projet immobilier haut de gamme situé dans le quartier prestigieux d'Anfa à Casablanca, au Maroc. Il s'agit d'un complexe immobilier étendu sur une superficie de 7 hectares offrant une vue panoramique imprenable sur la ville et l'océan Atlantique. Le projet propose des appartements luxueux allant du studio au penthouse de 5 chambres, ainsi que des villas avec jardins privés et piscines.

Les résidents bénéficient d'un large éventail d'équipements haut de gamme tels qu'un centre de remise en forme, un spa, une piscine intérieure et extérieure, des terrains de sport, des restaurants et des boutiques. Anfa Place Living Resort a été conçu pour offrir un style de vie exclusif et moderne, avec des espaces de vie spacieux et lumineux, des finitions haut de gamme et une attention particulière portée à chaque détail.

Le complexe immobilier est entièrement sécurisé et propose un service de conciergerie disponible 24h/24 pour répondre aux besoins des résidents. Nos équipes sont à votre disposition pour vous fournir toutes les informations nécessaires et vous recevoir dans notre bureau de vente sur place.

Anfa Place Living Resort est un projet immobilier de prestige offrant un cadre de vie exceptionnel à Casablanca, avec des équipements de qualité supérieure et une vue panoramique imprenable sur la ville et l'océan.",Appartement,Nouveau,NaN,,Haut standing,Finalisé,,,juin 2023,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
770000,97,4,3,2,Al Azhar à Casablanca,Appartement à l'achat à Anfa. Superficie 169 m²,,Appartement,Nouveau,NaN,,Moyen standing,Finalisé,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1100000,99,4,3,2,Lissasfa à Casablanca,Appartement à vendre à Lissasfa. Surface totale 99 m²,"Achetez votre appartement. Prix 1 080 000 DH. 3 chambres, 2 salles de bains, surface 100 m². 4 pièces lumineuses. Moins d'un an. Cuisine entièrement équipée.

Venez découvrir cet appartement à vendre à Lissasfa, Casablanca. Avec ascenseur.",Appartement,Nouveau,3,Sud,Moyen standing,Finalisé,Moins d'un an,Marbre,août 2024,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
590000,37,2,1,1,Roches Noires à Casablanca,Appartement de 37m² et 11m² de parking,"Appartement idéal à la vente. Prix 590 000 DH. 2 pièces, 1 salle de bains, surface 37 m². 1 chambre à coucher. Nouveau.

Cet appartement est proposé à la vente à Roches Noires, Casablanca.",Appartement,Nouveau,NaN,,Haut standing,En cours de construction,,,juin 2024,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1674000,136,2,1,NaN,Sidi Maarouf à Casablanca,Vente d'un bel appartement à Sidi Maarouf. Superficie 136 m²,"NOS DUPLEX ET APPARTEMENTS
Nos appartements et duplex d’exception s’inspirent des grands principes architecturaux, alliant charme et fonctionnalité de façon inégalée. La conception des plans, l’aménagement des volumes, et la qualité des prestations concourent à la signature des réalisations de KLK Khayatey Living, qui accorde un soin particulier pour assurer un confort et une qualité de vie incomparables à nos résidents.

CASAVIEW vous offre des duplex et appartements de prestige, dotés d’une finition exceptionnelle. Nos choix de menuiserie en bois luxueux, de sanitaire et de robinetterie haut de gamme vous plongent dans un univers d’élégance.

Les appartements, accessibles par ascenseur, ont été pensés pour que chaque famille trouve l’appartement de ses rêves, synonyme d’épanouissement, de bien-être et de sérénité. Vous méritez le meilleur, et Casaview l’incarne.",Appartement,,NaN,,Haut standing,Finalisé,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1810000,100,4,3,NaN,Californie à Casablanca,Charmant appartement à vendre à Californie,"Les Allées de Californie 2, plus qu’une simple résidence, un cadre de vie créé exclusivement pour vous !

Composée de 4 immeubles en R4, Les Allées de Californie 2 est une résidence fermée et sécurisée située au quartier Californie qui vous propose des appartements haut standing de 3 chambres.

Ce magnifique appartement de 101 m² composé de 3 chambres, est exposé à un prix de 1 585 000 DH, 100% déclaré.

La résidence propose les prestations suivantes :

- Sécurité 24h/7j
- Espaces verts et jardins intérieurs
- Vidéosurveillance
- Places de parking titrées

Les appartements des Allées de Californie 2 sont dotés de finitions et d’équipements premium :

- Installation de la domotique
- Climatisation en split
- Parquet stratifié dans les chambres
- Marbre dans le reste de la maison
- Carrelage antidérapant dans les salles de bains
- Cuisine équipée d’un trio (Four, hotte, plaque de cuisson) et d'un lave-vaisselle
- Douche à l’italienne
- Porte d’entrée et placards en bois de chêne ou similaire
- Pré-installation de la fibre optique

Le projet est situé au centre du quartier Californie. Il dispose d’une proximité immédiate avec toutes les principales artères de la ville et les services de proximité :

- Écoles
- Supermarchés/hypermarchés
- Pharmacies
- Cliniques
- Salles de sport

Les titres fonciers sont disponibles immédiatement.

Programmez votre visite dès maintenant, en appelant le 05 200 100 20.",Appartement,Nouveau,NaN,,Haut standing,Finalisé,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1212000,53,2,1,1,Riviera à Casablanca,Studio à vendre à Riviera,"Que vous soyez jeune actif, investisseur ou simplement à la recherche de votre futur logement à Casablanca, le projet Studio Blue skies vous propose des biens qui correspondent en tous points à vos attentes

Plus qu’un simple projet, Blue Skies correspondra à l’ensemble de vos attentes, en termes d’emplacement, de finitions et de cadre de vie,

Un véritable havre de paix au sein du quartier Riviera, Blue Skies met à votre disposition des studios F2 haut standing dont les superficies varient entre 40 m² et 65 m² à partir de 972 000 DH et 100% déclaré.

Grâce à sa double façade, ce projet vous offre la lumière naturelle durant toute la journée et met également à votre disposition un parking en deux sous-sols.

Les studios du projet Blue Skies proposent des agencements minutieusement étudiés, des équipements de qualité et des finitions vertueuses :

- Revêtement des sols de la chambre et le salon en Parquet Egger Laminate Pro
- Peinture
- Cuisine équipée d’un trio
- Double Vitrage
- Rooftop aménagé
- Climatisation centralisée

L’emplacement idéal dont bénéficie Blue Skies vous fait profiter d’une proximité immédiate avec l’ensemble des commodités dont vous pourrez avoir besoin :

- A 1 min du croisement Bd Ghandi & Route El Jadida
- A 8 min de la Gare ferroviaire Casa Oasis
- Supermarché et commerces
- Cafés et restaurants

Investir ou habiter dans le projet Blue Skies, c’est faire un choix gagnant à tous les coups ! Pour plus d’informations, n’hésitez pas à nous contacter.",Appartement,Nouveau,NaN,Sud,Haut standing,Finalisé,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
